Country Name,Country Code,Series Name,Series Code,2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Solomon Islands,SLB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.606844219294806,0.610794924619574,0.616095494801694,0.621657131419943,0.626355375280281,0.631828627615174,0.634351972819831,0.642742464165166,0.626317671281855,0.667965966361303,0.570328520611006,0.496360134495479,0.474604443227374,0.458335016484524,0.456428451161852,0.451560238402472,0.323065549175264,..,..,..
Somalia,SOM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.0570801417050347,0.0554680236301806,0.0539268851206211,0.0560887605535194,0.0540591548877357,0.0523783514067347,0.0524834473842215,0.0517728115714403,0.0502961096035586,0.0505271937683646,0.0485302122924421,0.046948882097858,0.0457851399374806,0.0440588174785614,0.0425732267936332,0.041029202880867,0.0399346532651356,..,..,..
South Africa,ZAF,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,7.82476407533056,7.70429784499698,7.67271219877509,7.94385857423182,8.44664968496897,7.90204894086135,8.21761222731227,7.8080537418251,8.03464925875575,8.11643495398564,8.19115252745267,7.60718852417825,7.54458957113285,7.68370781068603,7.66737702463575,7.68890762322173,6.68756314737781,..,..,..
South Sudan,SSD,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.130103732507799,0.119020541055358,0.124374630753008,0.139370794444122,0.140426225718187,0.139846068148503,0.135185668231934,0.125081131987055,0.132559567705925,0.130838820817266,0.13551783759334,0.175928836633719,0.156351308793835,0.141871639801971,0.170162964539169,0.174641876951273,0.16430913651009,..,..,..
Spain,ESP,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,7.81792835567954,8.02919743143422,7.69812924965131,7.84232084677752,7.05647934920114,6.21468704771263,5.88576349343324,5.89332917610638,5.77854920958231,5.22940078672168,5.20600921471327,5.5388552164426,5.34058533869093,5.68159077854133,5.52105983547843,5.13179880095904,4.2795945712141,..,..,..
Sri Lanka,LKA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.660231679843304,0.710810981430899,0.62428078801025,0.67691785132022,0.631515599480874,0.6000934359648,0.6324486029673,0.73875310927848,0.829817672208316,0.683729265092783,0.821974874404746,0.901775002944458,1.08130995719399,1.0759613709386,1.00093677895708,1.07452644131542,0.99668324284867,..,..,..
St. Kitts and Nevis,KNA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,4.70588235294118,4.35741037988229,4.48862909075394,4.77507178560034,4.69293409110187,4.8344118766654,4.83513701664452,4.9683697274122,4.80021790600708,4.75642179747524,4.77934252652284,4.97175141242938,5.1184397756759,5.08527780684315,5.13389585645192,5.18737424547284,4.84866294446077,..,..,..
St. Lucia,LCA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.53837395502895,2.48570011971993,2.59265933801886,2.62658341193185,2.63916571753986,2.6177455094055,2.97013484657911,2.91382264951059,2.92853677133153,2.91071284875099,2.89409853321434,2.85384032843079,2.86543508698339,2.99667537804169,2.96759758949451,2.9935660169221,2.78513922906543,..,..,..
St. Martin (French part),MAF,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
St. Vincent and the Grenadines,VCT,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2.02738704177323,2.050105762966,2.04349035691529,2.21973579730022,2.07766779071032,2.6238164603059,2.13708054305266,2.06894013964656,2.22791743382401,2.10609585853886,2.50205776713559,2.31494524896227,2.40838783348905,2.13265876512331,2.39644380277543,2.24066943692577,2.100695771848,..,..,..
