,index,Unnamed: 0,Series Name,Series Code,Country Name,Country Code,2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
47,29573,29573,CO2 emissions (kt),EN.ATM.CO2E.KT,Cote d'Ivoire,CIV,5466.1,5876.5,5698.7,5657.8,6474.7,6031.2,6350.6,6118.3,8037.7,8692.4,9196.9,9805.7,9593.5,10563.8,10194.8,10838.9,10894.9,..,..,..
48,29574,29574,CO2 emissions (kt),EN.ATM.CO2E.KT,Croatia,HRV,21092.7,21445,21598.3,22872,21726.3,20305.9,19457.3,19027.6,17403,17010.6,16236.4,16602.3,16876.8,17407.9,16433.4,16523.3,15626.9,..,..,..
49,29575,29575,CO2 emissions (kt),EN.ATM.CO2E.KT,Cuba,CUB,25364.8,26317.9,26780.2,27677.5,26747.1,26979.6,28110,27586.3,28690.9,28869.7,26677.1,29209.8,27176.4,26241.3,26674.6,24418.5,24327.8,..,..,..
50,29576,29576,CO2 emissions (kt),EN.ATM.CO2E.KT,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
51,29577,29577,CO2 emissions (kt),EN.ATM.CO2E.KT,Cyprus,CYP,7778.8,7900.8,7999.4,8307.1,8490.7,8276.1,7898.4,7634.6,7098.8,6427.7,6811.8,6851.9,7219.2,7361.2,7198.6,7191,6771.8,..,..,..
52,29578,29578,CO2 emissions (kt),EN.ATM.CO2E.KT,Czechia,CZE,123786,121893.6,122553.6,124432.8,118718.3,113246.1,114167.6,111220.1,107320.2,102910.3,99960.6,101167.5,102998,103549.9,102734.3,97712.9,88835.2,..,..,..
53,29579,29579,CO2 emissions (kt),EN.ATM.CO2E.KT,Denmark,DNK,53727.6,50201.9,58134,53411.4,50127.7,47933.6,48124.8,43098,38216.2,39960.7,35820,33704.9,35340.3,33184,33133.3,29696.5,27356.5,..,..,..
54,29580,29580,CO2 emissions (kt),EN.ATM.CO2E.KT,Djibouti,DJI,395.8,429.3,432.6,470.2,474.3,465.5,519.1,474.9,492.6,558.79,402.17,446.55,395.47,403.4,414.9,428.27,427.7,..,..,..
55,29581,29581,CO2 emissions (kt),EN.ATM.CO2E.KT,Dominica,DMA,144.3,148.4,155.3,164,165.7,163.8,172.5,152.1,167,171.4,180,180.9,182.5,165.6,165.3,174.1,162.8,..,..,..
56,29582,29582,CO2 emissions (kt),EN.ATM.CO2E.KT,Dominican Republic,DOM,17282.2,18690.8,20368.5,20626.8,20581.3,19657.2,20680.8,20913.9,21681.5,21287.2,21450.7,23590.5,24593.5,23551.3,25366,25775.2,22881.3,..,..,..
57,29583,29583,CO2 emissions (kt),EN.ATM.CO2E.KT,Ecuador,ECU,26177.7,28220.3,30126.3,30635.9,31688,34498.5,37254,37096.6,37085.1,39701.1,41801.2,41390.3,39791.7,38549.3,40273.2,39631.4,34431,..,..,..
58,29584,29584,CO2 emissions (kt),EN.ATM.CO2E.KT,"Egypt, Arab Rep.",EGY,144503.9,162217.1,170745,183395.7,189935.2,197660.5,200313.3,205767.3,215000.9,213856.4,219121.1,226283.6,235425.8,244540.5,237983,217908.3,210752.3,..,..,..
59,29585,29585,CO2 emissions (kt),EN.ATM.CO2E.KT,El Salvador,SLV,6676.8,6836.3,7235,7629,6909.8,6676.8,6539.2,6778.7,6771.6,6455.8,6592.2,6997.6,7125.1,6344.9,6844.9,7912.7,6376.3,..,..,..
60,29586,29586,CO2 emissions (kt),EN.ATM.CO2E.KT,Equatorial Guinea,GNQ,5517.6,5609.9,5584.4,6326.2,5816.1,6066.1,6047.8,6089.1,5868.9,5990,5946.6,5494.2,5830.1,5369.3,5068.5,4876.5,4350.4,..,..,..
61,29587,29587,CO2 emissions (kt),EN.ATM.CO2E.KT,Eritrea,ERI,703.5,589.83,529.57,516.52,449.31,467.83,502.95,595.89,625.34,589.43,592.22,570.9,580.5,581.47,677.7,697.2,706.4,..,..,..
62,29588,29588,CO2 emissions (kt),EN.ATM.CO2E.KT,Estonia,EST,16755,16807.7,16090,19765.8,17481.5,14047.9,18500.4,18502.6,16989,18846.5,17594.9,14377.1,15907.2,16773.5,15716.9,10060.7,7097.52,..,..,..
63,29589,29589,CO2 emissions (kt),EN.ATM.CO2E.KT,Eswatini,SWZ,985.6,982.5,990.9,1024.6,1005.6,1042.3,849.2,814.9,806.3,957,977.4,1015.9,1116,1105.8,1105.8,1169.5,1147.7,..,..,..
64,29590,29590,CO2 emissions (kt),EN.ATM.CO2E.KT,Ethiopia,ETH,5334.2,5049.5,5404.8,5963.5,6487.7,6534.5,6473.2,7551.5,8559,10190.8,12490.3,13046.3,15247.2,15882.4,17028.4,17708,18098,..,..,..
65,29591,29591,CO2 emissions (kt),EN.ATM.CO2E.KT,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
66,29592,29592,CO2 emissions (kt),EN.ATM.CO2E.KT,Fiji,FJI,1319.6,1071.1,1200,1128.8,863.4,766.7,1126.3,1055.8,993.5,1066.9,1213.6,1263.8,1198.6,1331.1,1387.2,1393.5,1028.2,..,..,..
67,29593,29593,CO2 emissions (kt),EN.ATM.CO2E.KT,Finland,FIN,67682.9,55460.2,67024.9,65102.7,56660.1,54180.9,62526.4,55123.4,49408.1,50191.3,46161.7,42815.4,45700.3,43015.4,44395.5,40987.1,36329.9,..,..,..
68,29594,29594,CO2 emissions (kt),EN.ATM.CO2E.KT,France,FRA,377948.5,380816.1,371741,363052.2,358211.2,343882.5,347940.1,335031.9,338315.4,338453.1,306017.4,311175.4,313835.2,317721.2,306948.4,300561.6,267154.7,..,..,..
69,29595,29595,CO2 emissions (kt),EN.ATM.CO2E.KT,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
70,29596,29596,CO2 emissions (kt),EN.ATM.CO2E.KT,Gabon,GAB,6091.1,6058.3,5437.1,4941.11,5272.57,5207.58,5762.09,5777.14,5601.97,5790.27,5962.05,6115.8,6383.7,5344.7,5120.4,5274.5,5349.2,..,..,..
71,29597,29597,CO2 emissions (kt),EN.ATM.CO2E.KT,"Gambia, The",GMB,314.6,329.5,357.2,409,427.7,484.9,434.2,446.9,452.9,430.6,506.8,585.9,593.2,602.3,597.8,606.9,611.4,..,..,..
72,29598,29598,CO2 emissions (kt),EN.ATM.CO2E.KT,Georgia,GEO,3373.1,4243.1,4701.3,5626.6,4838.8,5624.3,5322.1,6521.8,7193,8024,8654,9399.4,9813.6,9907.1,9725.2,10549.6,10255,..,..,..
73,29599,29599,CO2 emissions (kt),EN.ATM.CO2E.KT,Germany,DEU,821073.6,802383.2,814413.1,783803,789690.4,734805.5,773069.1,746477.3,760127.7,776151.8,736011.7,742314.4,747147.2,732204.2,707770.2,658693.5,603350.5,..,..,..
74,29600,29600,CO2 emissions (kt),EN.ATM.CO2E.KT,Ghana,GHA,5924.8,6331.1,7798.5,8418.5,7966.9,9320.3,10382.6,10803.1,12876.5,13899.7,13366.7,14320.7,14545.3,15135,16774.9,18039.1,19401.16,..,..,..
75,29601,29601,CO2 emissions (kt),EN.ATM.CO2E.KT,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
76,29602,29602,CO2 emissions (kt),EN.ATM.CO2E.KT,Greece,GRC,99844.6,101947.3,100702.8,104309.9,100405.6,94740.2,87578.5,84547.2,80085.3,72484.2,69548.7,68010.2,66848.6,66795.5,65021.2,59990.3,51002.2,..,..,..
77,29603,29603,CO2 emissions (kt),EN.ATM.CO2E.KT,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
78,29604,29604,CO2 emissions (kt),EN.ATM.CO2E.KT,Grenada,GRD,216.8,228,235.9,250.8,261.5,262.4,273.6,260.3,278.6,317.1,253.5,272.6,277.4,287.5,320.3,346.2,324.5,..,..,..
79,29605,29605,CO2 emissions (kt),EN.ATM.CO2E.KT,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
80,29606,29606,CO2 emissions (kt),EN.ATM.CO2E.KT,Guatemala,GTM,10780.4,11557.6,11550.1,12442.2,11272.3,11884.4,11477.6,11774.9,12183.7,13046.3,13998.5,16455.9,17451.9,16530.1,18075.7,19017.8,16865.2,..,..,..
81,29607,29607,CO2 emissions (kt),EN.ATM.CO2E.KT,Guinea,GIN,1772.9,1835.6,1901.4,1978.5,2012.8,2124.1,2502.8,2621.7,2468.8,2160,2225.7,2522.3,2806.5,3321.6,3735,4517,4537.9,..,..,..
82,29608,29608,CO2 emissions (kt),EN.ATM.CO2E.KT,Guinea-Bissau,GNB,205.4,209.5,216.7,229.9,223.6,234.6,241,243.5,246,247.4,263.6,281.9,305,306.6,317.8,325.3,329,..,..,..
83,29609,29609,CO2 emissions (kt),EN.ATM.CO2E.KT,Guyana,GUY,1671.7,1481.6,1332.8,1605.2,1603.7,1627.2,1759.3,1831.6,2000.8,1975.6,2063.3886,2079.93,2478.6,2473.8,2587.1,2795.9,2768.5,..,..,..
84,29610,29610,CO2 emissions (kt),EN.ATM.CO2E.KT,Haiti,HTI,1666.8,1704.8,1718.8,2045.4,2029.3,1991.4,2458.2,2697.54,2415.34,2650.86,3021.14,3280.44,3364.54,3326.24,3289.74,3317.34,3209.04,..,..,..
85,29611,29611,CO2 emissions (kt),EN.ATM.CO2E.KT,Honduras,HND,7557.8,6973.6,7974.5,8536.1,8587.1,8072.9,7926.8,9470.4,9985.4,9685,9884.1,10538.2,10394.7,9377,9031.3,10196.4,8835.4,..,..,..
86,29612,29612,CO2 emissions (kt),EN.ATM.CO2E.KT,"Hong Kong SAR, China",HKG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
87,29613,29613,CO2 emissions (kt),EN.ATM.CO2E.KT,Hungary,HUN,56349.8,55921.2,55457.5,53850.4,53014.2,47839.1,47880.5,46907.3,43427.2,40762.6,40625.2,43384.1,44248.4,49449.8,49202.9,47261.8,44769.3,..,..,..
88,29614,29614,CO2 emissions (kt),EN.ATM.CO2E.KT,Iceland,ISL,2309.99,2261.25,2311.85,2382.97,2182.63,2108,1959.124,1888.35,1859.9,2031.8,2047.5,2057.5,1633,1671,1699.3,1638.2,1446.6,..,..,..
89,29615,29615,CO2 emissions (kt),EN.ATM.CO2E.KT,India,IND,1085666.9,1136466.4,1215205.2,1336737.1,1424383,1564881.1,1659983,1756744,1909442,1972429.4,2147107,2158023.2,2195248.5,2308804.4,2458175.9,2423951.4,2200836.3,..,..,..
90,29616,29616,CO2 emissions (kt),EN.ATM.CO2E.KT,Indonesia,IDN,341235.4,342148.1,364467,379956.6,376137.8,391082.7,415536.6,475800.9,481791.3,448400.2,484640.1,489052.8,483978.7,515395.7,568007.6,605290.6,563197,..,..,..
91,29617,29617,CO2 emissions (kt),EN.ATM.CO2E.KT,"Iran, Islamic Rep.",IRN,417660.4,450795.7,484179.1,514142.8,523048.3,542297.1,541171.1,552050.9,559122.1,583703.1,605356.1,599182.7,607216.3,626427.9,637433.7,625251.5,616561.3,..,..,..
92,29618,29618,CO2 emissions (kt),EN.ATM.CO2E.KT,Iraq,IRQ,88108.3,85127.9,82958.1,76650.1,88136.3,94205.5,108550.3,113039.8,129004.3,139103.6,134045.9,133169.7,143281.1,156456.4,168154.3,180687.6,163511.5,..,..,..
93,29619,29619,CO2 emissions (kt),EN.ATM.CO2E.KT,Ireland,IRL,44687.6,46650.5,47263.3,46604.8,45911.3,40583.3,40347.7,36488.1,37009.5,35688.2,35556.5,37087.2,39009.8,37729.1,37473.6,35812.2,33742.2,..,..,..
94,29620,29620,CO2 emissions (kt),EN.ATM.CO2E.KT,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
95,29621,29621,CO2 emissions (kt),EN.ATM.CO2E.KT,Israel,ISR,63159.9,61012.4,64331,66597.9,66708,65727.7,70520.3,69822.8,76063.2,67002.5,64717.8,66314.7,65233,65906.3,61424.5,62796.3,58471.8,..,..,..
96,29622,29622,CO2 emissions (kt),EN.ATM.CO2E.KT,Italy,ITA,472404.8,473831.8,466654.5,459371.1,444984.5,397057.1,405272.3,396687.4,376747.2,346458.3,327498,337862.1,333344.8,329193.3,324884.2,317223,281286.8,..,..,..
97,29623,29623,CO2 emissions (kt),EN.ATM.CO2E.KT,Jamaica,JAM,10572,10563.7,12059.8,12029.5,9625.4,7889,7479.8,7529.4,6959,7402.3,7191.3,7088.7,7549.5,7225,8589,8394.3,5835.6,..,..,..
98,29624,29624,CO2 emissions (kt),EN.ATM.CO2E.KT,Japan,JPN,1207285.7,1215474.4,1193043.3,1227990.8,1158836.1,1102386.2,1157241.8,1213775.6,1254319.4,1267376.2,1217306.6,1178349.1,1164869.4,1150835,1111115.3,1073645.3,1014064.7,..,..,..
99,29625,29625,CO2 emissions (kt),EN.ATM.CO2E.KT,Jordan,JOR,18580.9,19869,20167,21090.3,20009,20665,20196.8,20756.3,24123.3,23803.7,25553.1,25309.1,24730,26021.8,24710,23147.9,20974.1,..,..,..
100,29626,29626,CO2 emissions (kt),EN.ATM.CO2E.KT,Kazakhstan,KAZ,158029.6,169217.6,185299.3,198392.4,242038,213617.1,229702.2,245455.3,244599,260015.4,209261.3,191059.6,202475.7,214897.7,216896.7,204592.2,211896.7,..,..,..
101,29627,29627,CO2 emissions (kt),EN.ATM.CO2E.KT,Kenya,KEN,7662.7,8707.6,9765.4,9868.9,10411.7,12424.4,13424.4,13963.9,12981.3,14387.7,16700,18090.3,19310.1,20097.2,19253.9,19481.9,19446.8,..,..,..
102,29628,29628,CO2 emissions (kt),EN.ATM.CO2E.KT,Kiribati,KIR,50.8,61.8,68.3,58.2,64,58.6,54.3,54.2,57.7,63.8,60.1,60.7,56.7,72.7,73.2,73.6,56.9,..,..,..
103,29629,29629,CO2 emissions (kt),EN.ATM.CO2E.KT,"Korea, Dem. People's Rep.",PRK,74323.7,77678.2,78937.1,65633.8,72831.5,55256.9,51689.8,37098.9,38483.4,27629.1,31223.3,25101.5,28127.7,54286,50121.3,55548.4,52437.2,..,..,..
104,29630,29630,CO2 emissions (kt),EN.ATM.CO2E.KT,"Korea, Rep.",KOR,485909.6,481002.1,487852.1,503693.8,514924.5,526639.5,575215.7,598480.8,600316.3,599601.4,588088.6,607827.1,615443.6,626178.4,630186.6,612133.7,569681.8,..,..,..
105,29631,29631,CO2 emissions (kt),EN.ATM.CO2E.KT,Kosovo,XKX,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
